id_turno,municipio,lv,sabado,domingo,festivo,hora_entrada,hora_salida,horas_computadas
VADN001,Valladolid,1,1,0,1,7:00,15:00,8
VADN002,Valladolid,1,1,0,1,7:00,15:00,8
VADN003,Valladolid,1,1,0,1,7:00,15:00,8
VADN004,Valladolid,1,0,0,1,7:00,15:00,8
VADN005,Valladolid,1,1,1,1,8:00,13:00,5
VADN006,Valladolid,1,1,0,1,7:30,15:30,8
VADN007,Valladolid,1,0,0,0,7:30,15:30,8
VADN008,Valladolid,1,0,0,0,8:00,16:00,8
VADN009,Valladolid,1,0,0,0,8:00,16:00,8
VADN010,Valladolid,1,0,0,0,8:00,16:00,8
VADN011,Valladolid,1,0,0,0,8:00,16:00,8
VADN012,Valladolid,1,0,0,0,8:00,16:00,8
VADN013,Valladolid,1,0,0,0,8:00,16:00,8
VADN014,Valladolid,1,0,0,0,8:00,16:00,8
VADN015,Valladolid,1,0,0,0,8:00,16:00,8
VADN016,Valladolid,1,0,0,0,8:00,16:00,8
VADN017,Valladolid,1,0,0,0,8:00,16:00,8
VADN018,Valladolid,1,0,0,0,8:00,16:00,8
VADN019,Valladolid,1,0,0,0,8:00,16:00,8
VADN020,Valladolid,1,0,0,0,8:00,16:00,8
VADN021,Valladolid,1,0,0,0,8:00,16:00,8
VADN022,Valladolid,1,1,1,1,9:00,19:00,8
VADN023,Valladolid,1,0,0,0,9:00,19:00,8
VADN024,Valladolid,1,0,0,0,9:00,19:00,8
VADN025,Valladolid,1,1,1,1,8:00,16:00,8
VADN028,Valladolid,1,1,1,1,13:30,21:30,8
VADN029,Valladolid,1,1,1,1,13:30,21:30,8
VADN030,Valladolid,1,1,0,1,13:30,21:30,8
VADN031,Valladolid,1,1,0,1,13:30,21:30,8
VADN032,Valladolid,1,0,0,1,13:30,21:30,8
VADN033,Valladolid,1,0,0,0,13:30,21:30,8
VADN034,Valladolid,1,1,0,1,14:00,22:00,8
VADN035,Valladolid,1,0,0,0,14:00,22:00,8
VADN036,Valladolid,1,0,0,0,14:00,22:00,8
VADN037,Valladolid,1,0,0,0,14:00,22:00,8
VADN040,Valladolid,1,0,1,0,16:00,0:00,8
VADN039,Valladolid,1,0,0,0,18:30,22:30,4
VADN051,Valladolid,1,1,1,1,21:30,8:30,11
VADN052,Valladolid,1,1,1,1,21:30,8:30,11
VADP001,Valladolid,1,0,0,0,8:00,16:00,8
VADP002,Valladolid,1,0,0,0,8:00,16:00,8
VADP003,Valladolid,1,1,1,1,22:00,22:00,8
VADN027,Valladolid,0,1,0,1,11:30,21:30,8
VADN038,Valladolid,0,1,0,1,15:00,23:00,8
VADN026,Valladolid,0,1,0,1,10:00,20:00,8
H,Valladolid,1,0,0,0,8:00,16:00,8
VADU47127,Valladolid,1,1,1,1,22:00,22:00,8
REF CAL M,Valladolid,1,0,0,0,8:00,16:00,8
REF CAL T,Valladolid,1,0,0,0,14:00,22:00,8
VADN151,Penafiel,1,0,0,0,6:00,14:00,8
VADN152,Valladolid,1,1,0,1,7:00,15:00,8
VADN153,Valladolid,1,0,0,0,14:00,22:00,8
VADN161,Iscar,1,0,0,0,7:00,15:00,8
VADN162,Iscar,1,1,0,1,7:00,15:00,8
VADN164,Iscar,1,0,0,0,14:00,22:00,8
VADN171,Medina,1,0,0,0,23:00,8:00,9
VADN172,Medina,1,0,0,0,6:00,13:00,7
VADN173,Medina,1,1,0,1,7:00,15:00,8
VADN174,Medina,1,0,0,0,7:00,15:00,8
VADN175,Medina,1,0,0,0,7:00,15:00,8
VADN176,Medina,1,0,0,0,11:00,21:00,8
VADN178,Medina,1,0,0,0,13:30,21:30,8
VADN179,Medina,1,0,0,0,15:00,22:00,7
VADN177,Medina,0,1,1,1,23:00,22:00,8
VADN181,Medina,1,1,0,1,7:00,15:00,8
VADN182,Tordesillas,1,0,0,0,7:00,15:00,8
VADN183,Tordesillas,1,0,0,0,14:00,22:00,8
VADN191,Mayorga,1,0,0,0,6:30,14:30,8
VADN192,Mayorga,1,0,0,0,7:00,15:00,8
VADN193,Mayorga,1,0,0,0,8:00,16:00,8
VADN195,Mayorga,1,0,0,0,14:00,22:00,8
VADN194,Mayorga,0,1,0,0,6:00,14:00,8
